"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"162","Aromatic Compound Biosynthetic Process (GO:0019438)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"PSAT1"
"163","Pexophagy (GO:0000425)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"SQSTM1"
"164","Renal Filtration Cell Differentiation (GO:0061318)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"CD24"
"165","Glomerular Epithelial Cell Differentiation (GO:0072311)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"CD24"
"166","Iron Coordination Entity Transport (GO:1901678)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"LCN2"
"167","Positive Regulation Of Vesicle Fusion (GO:0031340)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"ANXA1"
"168","Lipoprotein Metabolic Process (GO:0042157)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"OLR1"
"169","Protein Targeting To Vacuole Involved In Autophagy (GO:0071211)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"SQSTM1"
"170","Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To MHC Molecule On Antigen Presenting Cell (GO:2001188)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"LGALS3"
"171","Negative Regulation Of Cellular Response To Hypoxia (GO:1900038)","1/5",0.0247535287182936,0.162996920098238,0,0,50.2424242424242,185.836036973753,"ENO1"
"172","Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)","2/49",0.0249911884332231,0.163605105673309,0,0,8.62049500651324,31.8030058521021,"UBE2C;PLK1"
"173","Regulation Of Epithelial Cell Migration (GO:0010632)","2/50",0.0259489619459531,0.165937028203705,0,0,8.44047619047619,30.8214426622313,"TACSTD2;PFN1"
"174","Positive Regulation Of Cell Death (GO:0010942)","2/50",0.0259489619459531,0.165937028203705,0,0,8.44047619047619,30.8214426622313,"WNT5A;FYN"
"175","Intracellular Iron Ion Homeostasis (GO:0006879)","2/50",0.0259489619459531,0.165937028203705,0,0,8.44047619047619,30.8214426622313,"FTH1;FTL"
"176","Pyruvate Metabolic Process (GO:0006090)","2/50",0.0259489619459531,0.165937028203705,0,0,8.44047619047619,30.8214426622313,"KRT17;ENO1"
"177","Positive Regulation Of Actin Filament Bundle Assembly (GO:0032233)","2/51",0.0269214810715392,0.165937028203705,0,0,8.26780508121616,29.8867161104048,"TPM1;PFN1"
"178","Positive Regulation Of Protein Localization To Cell Periphery (GO:1904377)","2/51",0.0269214810715392,0.165937028203705,0,0,8.26780508121616,29.8867161104048,"LGALS3;SQSTM1"
"179","Negative Regulation Of Nucleic Acid-Templated Transcription (GO:1903507)","6/456",0.0269320616348463,0.165937028203705,0,0,2.75886524822695,9.97174689282937,"CENPF;CBX3;WNT5A;HMGA1;HMGB2;ENO1"
"180","Regulation Of Cell Cycle Process (GO:0010564)","3/130",0.0274860097045577,0.165937028203705,0,0,4.81524474389155,17.3063658813262,"PRC1;PLK1;NEK2"
"181","Icosanoid Metabolic Process (GO:0006690)","2/52",0.0279085775805054,0.165937028203705,0,0,8.10204081632653,28.9957554144004,"CYP1B1;PTGR1"
"182","Positive Regulation Of Telomere Maintenance (GO:0032206)","2/52",0.0279085775805054,0.165937028203705,0,0,8.10204081632653,28.9957554144004,"HNRNPA2B1;NEK2"
"183","Endosome Organization (GO:0007032)","2/53",0.0289100845392209,0.165937028203705,0,0,7.94277711084434,28.1457453742055,"USP8;SQSTM1"
"184","CENP-A Containing Chromatin Assembly (GO:0034080)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"NASP"
"185","G-quadruplex DNA Unwinding (GO:0044806)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"HNRNPA2B1"
"186","Negative Regulation Of Plasminogen Activation (GO:0010757)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"SERPINE1"
"187","Negative Regulation Of Ruffle Assembly (GO:1900028)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"TACSTD2"
"188","Aggrephagy (GO:0035973)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"SQSTM1"
"189","Bleb Assembly (GO:0032060)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"EMP1"
"190","Cellular Hyperosmotic Response (GO:0071474)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"YBX3"
"191","Regulation Of Striated Muscle Tissue Development (GO:0016202)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"CENPF"
"192","Cellular Response To Monoamine Stimulus (GO:0071868)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"TGM2"
"193","Chromatin Remodeling At Centromere (GO:0031055)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"NASP"
"194","Response To Cocaine (GO:0042220)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"TGM2"
"195","Cytolysis By Host Of Symbiont Cells (GO:0051838)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"ROMO1"
"196","Free Ubiquitin Chain Polymerization (GO:0010994)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"UBE2C"
"197","Positive Regulation Of Mitophagy (GO:1901526)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"SLC25A5"
"198","Positive Regulation Of Unsaturated Fatty Acid Biosynthetic Process (GO:2001280)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"ANXA1"
"199","Macrophage Derived Foam Cell Differentiation (GO:0010742)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"WNT5A"
"200","Mitotic Nuclear Membrane Disassembly (GO:0007077)","1/6",0.0296309633944118,0.165937028203705,0,0,40.1919191919192,141.432767389918,"PLK1"
"201","Regulation Of Lipid Metabolic Process (GO:0019216)","2/54",0.029925836282038,0.165937028203705,0,0,7.78963893249608,27.3341007109313,"NPC2;PSAP"
"202","Nucleosome Assembly (GO:0006334)","2/54",0.029925836282038,0.165937028203705,0,0,7.78963893249608,27.3341007109313,"NASP;HMGB2"
"203","Epidermal Cell Differentiation (GO:0009913)","2/54",0.029925836282038,0.165937028203705,0,0,7.78963893249608,27.3341007109313,"ANXA1;WNT5A"
"204","Regulation Of Reactive Oxygen Species Metabolic Process (GO:2000377)","2/56",0.0319994177727202,0.165937028203705,0,0,7.50037792894936,25.8165826277711,"CYP1B1;ROMO1"
"205","Positive Regulation Of Cellular Metabolic Process (GO:0031325)","2/56",0.0319994177727202,0.165937028203705,0,0,7.50037792894936,25.8165826277711,"ROMO1;YPEL3"
