"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"190","Nucleosome Assembly (GO:0006334)","2/54",0.029925836282038,0.175514003777895,0,0,7.78963893249608,27.3341007109313,"NASP;HMGB2"
"191","Epidermal Cell Differentiation (GO:0009913)","2/54",0.029925836282038,0.175514003777895,0,0,7.78963893249608,27.3341007109313,"ANXA1;WNT5A"
"192","Mesenchymal Cell Differentiation (GO:0048762)","2/54",0.029925836282038,0.175514003777895,0,0,7.78963893249608,27.3341007109313,"WNT5A;S100A4"
"193","Inflammatory Response (GO:0006954)","4/236",0.0307736027122512,0.175514003777895,0,0,3.5323275862069,12.2963785355382,"ANXA1;ELF3;WNT5A;CD44"
"194","Monoatomic Anion Transport (GO:0006820)","2/57",0.0330569224942901,0.175514003777895,0,0,7.36363636363636,25.1064969666325,"FXYD3;BEST1"
"195","Response To Organic Cyclic Compound (GO:0014070)","2/58",0.0341280219187038,0.175514003777895,0,0,7.23177842565598,24.4263185896388,"ANXA1;CYP1B1"
"196","Inorganic Anion Transport (GO:0015698)","2/58",0.0341280219187038,0.175514003777895,0,0,7.23177842565598,24.4263185896388,"FXYD3;BEST1"
"197","Regulation Of Chaperone-Mediated Autophagy (GO:1904714)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"EEF1A1"
"198","Regulation Of Chromosome Condensation (GO:0060623)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"SMC4"
"199","Regulation Of Cyclic-Nucleotide Phosphodiesterase Activity (GO:0051342)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"CALM2"
"200","DNA Ligation (GO:0006266)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"TOP2A"
"201","Negative Regulation Of Neural Precursor Cell Proliferation (GO:2000178)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"WNT5A"
"202","Negative Regulation Of Phospholipase Activity (GO:0010519)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"ANXA1"
"203","Regulation Of Lymphocyte Apoptotic Process (GO:0070228)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"LGALS3"
"204","Regulation Of Phospholipase A2 Activity (GO:0032429)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"ANXA1"
"205","Positive Regulation By Host Of Viral Genome Replication (GO:0044829)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"NUCKS1"
"206","Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:1902425)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"BIRC5"
"207","Cytoplasmic Sequestering Of NF-kappaB (GO:0007253)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"TMSB4X"
"208","Positive Regulation Of Calcium Ion Import (GO:0090280)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"LGALS3"
"209","Positive Regulation Of Chromosome Condensation (GO:1905821)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"SMC4"
"210","Spleen Development (GO:0048536)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"CITED2"
"211","Positive Regulation Of Leukocyte Differentiation (GO:1902107)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"LGALS3"
"212","Foam Cell Differentiation (GO:0090077)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"WNT5A"
"213","Fructose Metabolic Process (GO:0006000)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"ALDOA"
"214","Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"ANXA1"
"215","Positive Regulation Of Neuron Projection Arborization (GO:0150012)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"WNT5A"
"216","Positive Regulation Of Plasminogen Activation (GO:0010756)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"ENO1"
"217","Hyperosmotic Response (GO:0006972)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"YBX3"
"218","Positive Regulation Of Ryanodine-Sensitive Calcium-Release Channel Activity (GO:0060316)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"CALM2"
"219","Leukocyte Aggregation (GO:0070486)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"CD44"
"220","Postsynapse Organization (GO:0099173)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"WNT5A"
"221","Myoblast Migration (GO:0051451)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"ANXA1"
"222","Regulation Of Apoptotic Cell Clearance (GO:2000425)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"TGM2"
"223","Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:1902423)","1/7",0.0344842492004147,0.175514003777895,0,0,33.4915824915825,112.774618360503,"BIRC5"
"224","Positive Regulation Of Transferase Activity (GO:0051347)","3/143",0.0350136640194194,0.176062783195245,0,0,4.36524300441826,14.6323682934029,"HSP90AA1;PCNA;HNRNPA2B1"
"225","Glucose Metabolic Process (GO:0006006)","2/59",0.035212556639049,0.176062783195245,0,0,7.10454708199069,23.7743191541034,"KRT17;ENO1"
"226","Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850)","2/59",0.035212556639049,0.176062783195245,0,0,7.10454708199069,23.7743191541034,"STMN1;BIRC5"
"227","protein-DNA Complex Assembly (GO:0065004)","2/59",0.035212556639049,0.176062783195245,0,0,7.10454708199069,23.7743191541034,"NASP;HMGB2"
"228","Actin Filament Organization (GO:0007015)","3/144",0.035632562673451,0.177381397519153,0,0,4.33406448782628,14.4519179998029,"TPM3;TPM1;ALDOA"
"229","Positive Regulation Of Protein Kinase Activity (GO:0045860)","3/145",0.0362571122213496,0.179183774798695,0,0,4.3033251052708,14.2746445584376,"TPX2;HSP90AA1;CALM2"
"230","Regulation Of Extrinsic Apoptotic Signaling Pathway (GO:2001236)","2/60",0.0363103684614095,0.179183774798695,0,0,6.981703026038,23.1488972243337,"LGALS3;ITGA6"
"231","Skeletal System Development (GO:0001501)","3/149",0.038811618827442,0.179200109287487,0,0,4.18457844937156,13.5958444486809,"WNT5A;CD44;TGM2"
"232","Negative Regulation Of DNA-binding Transcription Factor Activity (GO:0043433)","3/149",0.038811618827442,0.179200109287487,0,0,4.18457844937156,13.5958444486809,"TMSB4X;TAX1BP1;CYP1B1"
"233","Nucleic Acid Transport (GO:0050657)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"HNRNPA2B1"
"234","Positive Regulation Of ATP Biosynthetic Process (GO:2001171)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"TMSB4X"
"235","Regulation Of Vesicle Fusion (GO:0031338)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"ANXA1"
"236","Collagen-Activated Signaling Pathway (GO:0038065)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"ITGA2"
"237","Sequestering Of Actin Monomers (GO:0042989)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"TMSB4X"
"238","Skin Morphogenesis (GO:0043589)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"ITGA6"
"239","Positive Regulation Of Ligase Activity (GO:0051351)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"TMSB4X"
"240","Positive Regulation Of Macrophage Cytokine Production (GO:0060907)","1/8",0.0393135041520565,0.179200109287487,0,0,28.7056277056277,92.8967850071638,"WNT5A"
